Borough,"date_mday",Latitude,Longitude,count
BRONX,1,"40.82044421912159","-73.91696288199266",1
BRONX,1,"40.820629489925054","-73.92711515521721",1
BRONX,1,"40.82066592008807","-73.89590246619456",2
BRONX,1,"40.820840202441815","-73.87264889941089",2
BRONX,1,"40.82084554653219","-73.88019645618307",1
BRONX,1,"40.82100379696489","-73.89620904369941",1
BRONX,1,"40.821006937596835","-73.89664982632331",1
BRONX,1,"40.82122317408283","-73.87651049064752",1
BRONX,1,"40.82123580875527","-73.90098510061567",1
BRONX,1,"40.82126274265737","-73.80728115282844",3
BRONX,1,"40.82166252891245","-73.89027900411759",1
BRONX,1,"40.82170115209785","-73.87947953169162",2
BRONX,1,"40.82176651514893","-73.89586100091599",1
BRONX,1,"40.821816246710384","-73.89029320288967",1
BRONX,1,"40.821872850691626","-73.91508592186028",1
BRONX,1,"40.82285655486691","-73.90931452641514",1
BRONX,1,"40.82294408879956","-73.92410289405859",1
BRONX,1,"40.82309281514945","-73.86239414608237",4
BRONX,1,"40.823103590506854","-73.92457241840457",1
BRONX,1,"40.82330920378006","-73.81670552992937",1
BRONX,1,"40.82333962928415","-73.89939218903272",2
BRONX,1,"40.823652424773414","-73.92440559116348",1
BRONX,1,"40.82371575972474","-73.90271211378102",1
BRONX,1,"40.82374452103522","-73.89186174901093",3
BRONX,1,"40.823919306838164","-73.81893317890022",1
BRONX,1,"40.823931962072784","-73.92803289633304",2
BRONX,1,"40.82415101177649","-73.87578603348362",1
BRONX,1,"40.82436265891253","-73.88957359205357",2
BRONX,1,"40.82451968466006","-73.91265085900521",1
BRONX,1,"40.824524971059496","-73.92398908164778",5
BRONX,1,"40.824594531459304","-73.8772991398564",2
BRONX,1,"40.82470338212573","-73.85519329050533",2
BRONX,1,"40.82473726808204","-73.87730971630262",1
BRONX,1,"40.82494695350179","-73.87833548626249",1
BRONX,1,"40.8250227912721","-73.87737784124917",3
BRONX,1,"40.82516854373848","-73.87011496091921",1
BRONX,1,"40.825324545335675","-73.89683462240124",1
BRONX,1,"40.82538418735059","-73.87652806123705",2
BRONX,1,"40.825425703991016","-73.89045346157106",1
BRONX,1,"40.8257662713477","-73.88782966595178",1
BRONX,1,"40.826104344727696","-73.92577224178703",3
BRONX,1,"40.826104572112875","-73.92612634376081",1
BRONX,1,"40.8261989321845","-73.85493710507038",1
BRONX,1,"40.826273779190785","-73.89040870578128",1
BRONX,1,"40.82634278970389","-73.92959846145875",1
BRONX,1,"40.82636405186427","-73.90558081761218",1
BRONX,1,"40.826806250851824","-73.84495576318012",2
BRONX,1,"40.82694854890127","-73.88164164217862",1
BRONX,1,"40.82695994347361","-73.91663677731664",1
BRONX,1,"40.827261024036744","-73.87601509573291",1
BRONX,1,"40.8273217194725","-73.87889121431134",1
BRONX,1,"40.82734185946244","-73.88795347734677",1
BRONX,1,"40.827588986317465","-73.89386453477778",1
BRONX,1,"40.827655681877786","-73.88609567466665",1
BRONX,1,"40.82771864996198","-73.92223294607396",1
BRONX,1,"40.82779920187578","-73.8712010673875",1
BRONX,1,"40.82810394554162","-73.87127274547628",1
BRONX,1,"40.82838339923366","-73.91901261906946",1
BRONX,1,"40.82839713548562","-73.91903066941416",2
BRONX,1,"40.828486289722846","-73.89664543585015",2
BRONX,1,"40.82856998386493","-73.91893289667789",1
BRONX,1,"40.828577785278476","-73.86558791103944",1
BRONX,1,"40.82863405702653","-73.9127068860031",1
BRONX,1,"40.828642654796575","-73.89060354262327",1
BRONX,1,"40.828652433270506","-73.87844072706842",1
BRONX,1,"40.82865734137745","-73.91447743474848",1
BRONX,1,"40.828679514213086","-73.87809378830754",3
BRONX,1,"40.82912896027389","-73.91759885164441",1
BRONX,1,"40.82921170820606","-73.9006949953317",7
BRONX,1,"40.82925289041102","-73.91440440007968",1
BRONX,1,"40.82936537264554","-73.91433559953319",5
BRONX,1,"40.82941300053049","-73.9194883436301",1
BRONX,1,"40.829839237010866","-73.87947563132467",2
BRONX,1,"40.82984819102771","-73.91776056804838",3
BRONX,1,"40.8299444206455","-73.91799171290687",1
BRONX,1,"40.8301450337347","-73.85871184775378",1
BRONX,1,"40.83038556037992","-73.8822534405609",1
BRONX,1,"40.83057470002132","-73.87676414934461",1
BRONX,1,"40.830619910179166","-73.89469081291357",1
BRONX,1,"40.8306830247852","-73.91459046419747",1
BRONX,1,"40.83081421381775","-73.86514615395026",1
BRONX,1,"40.83090257803679","-73.85871385265955",1
BRONX,1,"40.83095982040994","-73.8883918517188",1
BRONX,1,"40.831074173593976","-73.9203824959307",1
BRONX,1,"40.83108217524681","-73.9284009724595",1
BRONX,1,"40.83119210206189","-73.9163712981108",1
BRONX,1,"40.831321002192546","-73.86199408989899",1
BRONX,1,"40.83134337419924","-73.82580045617871",1
BRONX,1,"40.831366424975315","-73.92649269964271",2
BRONX,1,"40.83140064200339","-73.86203006049956",4
BRONX,1,"40.8315271048226","-73.92886303221528",7
BRONX,1,"40.831634860247576","-73.92149842385741",1
BRONX,1,"40.83165391295356","-73.8798770663794",3
BRONX,1,"40.83166673506239","-73.9160924550707",4
BRONX,1,"40.83177196559652","-73.8799057620281",1
BRONX,1,"40.831829619559414","-73.87992011236742",1
BRONX,1,"40.83203511767756","-73.91690866646059",1
BRONX,1,"40.8322004837423","-73.9178624554653",1
BRONX,1,"40.83232045594343","-73.87432894420043",1
BRONX,1,"40.83236147097698","-73.85327946664536",1
BRONX,1,"40.83240443835918","-73.88649949896784",2
BRONX,1,"40.83245510998042","-73.89660313429964",1
BRONX,1,"40.83258373587881","-73.86920068822464",1
BRONX,1,"40.832588336700724","-73.90469386987536",3
BRONX,1,"40.83267326021892","-73.89502363196779",6
BRONX,1,"40.83279235518194","-73.91648853719205",1
BRONX,1,"40.832840102341166","-73.84983098169245",2
BRONX,1,"40.83294987177357","-73.82818849659282",1
BRONX,1,"40.833005685660645","-73.86855301256635",5
BRONX,1,"40.83302900952834","-73.91733383762232",4
BRONX,1,"40.83306936421244","-73.8714763449528",3
BRONX,1,"40.83308591398488","-73.85976802172719",1
BRONX,1,"40.833156148093394","-73.87054023584318",2
BRONX,1,"40.833359419665626","-73.9188041957983",1
